,race,gender,age_group,workclass,education_years,occupation,income_before,income_after,x,y,cluster
13983,White,Female,20,Unknown,8,Unknown,<=50K,<=50K,2.30262438,0.366746075,2
48626,Non-White,Female,50,Private,9,Tech-support,<=50K,<=50K,-0.054704126,-0.352696128,0
11033,White,Male,40,Self-emp-not-inc,13,Sales,>50K,>50K,-0.412554216,0.4270789,1
43391,White,Male,30,Local-gov,9,Exec-managerial,<=50K,>50K,-0.391607423,0.375314849,1
25453,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
6920,White,Male,40,State-gov,9,Handlers-cleaners,<=50K,<=50K,-0.277684356,0.052008943,0
20866,White,Male,20,Private,12,Other-service,<=50K,<=50K,0.004193237,-0.4618488,0
5961,White,Male,20,Private,6,Handlers-cleaners,<=50K,<=50K,0.182410568,-0.714690203,0
29854,White,Male,20,Private,10,Other-service,<=50K,<=50K,0.089132043,-0.560381526,0
7876,White,Male,10,Private,7,Other-service,<=50K,<=50K,0.592248085,-0.94969069,0
5400,White,Male,40,Self-emp-not-inc,10,Craft-repair,<=50K,>50K,-0.268609931,0.144277664,1
20572,White,Female,20,Unknown,10,Unknown,<=50K,<=50K,2.157995661,0.577599712,2
31411,Non-White,Male,30,Self-emp-not-inc,13,Exec-managerial,<=50K,>50K,-0.437394098,0.475961531,1
2744,Non-White,Female,50,Private,7,Machine-op-inspct,<=50K,<=50K,0.237672299,-0.732020708,0
20384,White,Male,40,Private,10,Transport-moving,<=50K,>50K,-0.181576308,-0.187407381,0
47027,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
21132,Non-White,Female,40,Local-gov,13,Prof-specialty,<=50K,>50K,-0.446188484,0.903425025,1
3075,White,Male,40,Private,12,Craft-repair,<=50K,>50K,-0.29309199,-0.063806927,0
13164,White,Male,20,Private,9,Transport-moving,<=50K,<=50K,-0.060870436,-0.482877139,0
42422,Non-White,Male,40,Private,6,Machine-op-inspct,<=50K,<=50K,0.047350194,-0.551463192,0
21512,White,Male,30,State-gov,10,Exec-managerial,<=50K,<=50K,-0.371930084,0.470286657,1
37307,White,Female,50,Private,10,Adm-clerical,<=50K,<=50K,0.000195209,-0.310938212,0
3495,White,Male,90,Self-emp-not-inc,15,Prof-specialty,>50K,>50K,-0.325224408,1.531560654,1
29584,White,Male,10,Private,6,Other-service,<=50K,<=50K,0.548910474,-0.869746508,0
43538,Non-White,Female,30,State-gov,9,Adm-clerical,<=50K,<=50K,-0.110854971,-0.117660071,0
10758,White,Female,50,Private,10,Adm-clerical,<=50K,<=50K,0.000195209,-0.310938212,0
32384,Non-White,Male,20,Private,6,Other-service,<=50K,<=50K,0.287939552,-0.798966298,0
7241,White,Male,60,Private,9,Transport-moving,<=50K,>50K,0.070295978,-0.15438501,0
40205,White,Male,50,State-gov,14,Exec-managerial,>50K,>50K,-0.612599069,1.128985383,1
13085,Non-White,Female,30,Private,9,Machine-op-inspct,<=50K,<=50K,0.004556118,-0.676566743,0
33530,White,Male,30,Private,10,Prof-specialty,<=50K,<=50K,-0.30877745,0.283924789,1
33902,White,Male,60,Unknown,10,Unknown,<=50K,>50K,2.175476742,0.981105098,2
12758,White,Female,20,Private,13,Prof-specialty,<=50K,<=50K,-0.241800729,0.357527526,1
22027,White,Male,50,Self-emp-not-inc,14,Prof-specialty,>50K,>50K,-0.609903182,1.249240833,1
22216,White,Male,30,Local-gov,10,Craft-repair,<=50K,>50K,-0.285079118,0.134075117,1
24751,White,Male,20,Private,9,Protective-serv,<=50K,<=50K,-0.144048945,-0.137079493,0
31400,White,Male,30,Self-emp-not-inc,16,Prof-specialty,>50K,>50K,-0.670669649,1.355284515,1
7991,Non-White,Male,40,Private,10,Transport-moving,<=50K,>50K,-0.125501733,-0.298360962,0
1911,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379,-0.490599905,0
39025,White,Female,50,Private,9,Sales,<=50K,<=50K,-0.062240513,-0.302893485,0
8584,White,Male,20,Private,9,Sales,<=50K,<=50K,-0.050230635,-0.441372443,0
18943,White,Female,30,Self-emp-not-inc,10,Other-service,<=50K,<=50K,0.007908281,-0.211029192,0
22494,White,Female,50,Local-gov,14,Prof-specialty,<=50K,>50K,-0.53722906,1.285369046,1
43420,Non-White,Male,20,Self-emp-inc,8,Sales,<=50K,>50K,0.069634993,-0.276359959,0
23241,Non-White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.127536584,-0.394637253,0
38850,Non-White,Female,30,Private,9,Other-service,<=50K,<=50K,0.086151104,-0.684977558,0
6191,White,Male,20,Private,10,Other-service,<=50K,<=50K,0.089132043,-0.560381526,0
27037,White,Female,40,Private,10,Sales,<=50K,<=50K,-0.057251175,-0.220915941,0
10370,White,Female,50,Private,13,Prof-specialty,<=50K,>50K,-0.367495939,0.571019741,1
34151,White,Male,20,Private,10,Sales,<=50K,<=50K,-0.011942136,-0.384994976,0
28645,White,Female,30,Private,10,Adm-clerical,<=50K,<=50K,-0.008561928,-0.406682153,0
13899,White,Male,30,Self-emp-not-inc,11,Farming-fishing,>50K,>50K,-0.335293603,0.283884859,1
45481,White,Female,50,Private,13,Prof-specialty,<=50K,>50K,-0.367495939,0.571019741,1
10802,Non-White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.09575221,-0.698012593,0
5816,White,Male,30,Private,9,Adm-clerical,<=50K,<=50K,-0.160535761,-0.388046363,0
29270,White,Female,10,Private,9,Other-service,<=50K,<=50K,0.481574374,-0.873506041,0
15600,Non-White,Female,20,Private,10,Adm-clerical,<=50K,<=50K,0.181964995,-0.635384008,0
11284,White,Male,50,Self-emp-not-inc,11,Craft-repair,<=50K,>50K,-0.360026599,0.214733857,1
15058,Non-White,Male,20,Local-gov,9,Other-service,<=50K,<=50K,0.005450161,-0.309953786,0
9088,Non-White,Male,20,Unknown,9,Unknown,<=50K,<=50K,2.062096404,0.485281921,2
40168,White,Female,10,Private,8,Adm-clerical,<=50K,<=50K,0.587564635,-0.917017854,0
21862,Non-White,Male,30,Self-emp-not-inc,10,Sales,>50K,>50K,-0.150776656,-0.071582966,0
17842,White,Male,20,Private,10,Farming-fishing,<=50K,<=50K,-0.015668677,-0.236537002,0
25612,White,Male,40,Private,14,Exec-managerial,>50K,>50K,-0.525819112,0.698232329,1
36960,White,Female,20,Local-gov,13,Prof-specialty,<=50K,<=50K,-0.343268687,0.775286314,1
26167,White,Male,30,Private,13,Sales,>50K,<=50K,-0.327555444,-0.000882436,0
27193,Non-White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.163790233,-0.354738428,0
48200,Non-White,Female,20,Private,9,Other-service,<=50K,<=50K,0.220603452,-0.802725831,0
39703,White,Male,80,Self-emp-inc,6,Farming-fishing,<=50K,>50K,0.043200987,0.211618615,1
22804,White,Female,20,State-gov,13,Prof-specialty,<=50K,<=50K,-0.361879847,0.813880656,1
15844,Non-White,Female,20,Private,3,Handlers-cleaners,<=50K,<=50K,0.234958352,-0.851572486,0
106,White,Male,40,Local-gov,9,Protective-serv,>50K,>50K,-0.404511275,0.519771587,1
16430,White,Male,50,Unknown,9,Unknown,<=50K,>50K,1.880326618,0.809727717,2
31743,Non-White,Male,30,Unknown,9,Unknown,<=50K,<=50K,1.927644056,0.603030194,2
15934,White,Female,20,Private,9,Sales,<=50K,<=50K,0.063454698,-0.5163857,0
36526,White,Female,60,Private,10,Sales,<=50K,<=50K,0.232909611,-0.131516104,0
24957,Non-White,Male,30,Private,11,Prof-specialty,>50K,>50K,-0.377418705,0.269027477,1
15956,White,Female,10,Private,10,Other-service,<=50K,<=50K,0.519862874,-0.817128574,0
22095,White,Male,40,Self-emp-not-inc,6,Farming-fishing,<=50K,>50K,-0.092386863,0.181541417,1
33943,White,Male,40,Local-gov,14,Exec-managerial,>50K,>50K,-0.627287071,1.115991118,1
18741,White,Female,40,Private,9,Machine-op-inspct,<=50K,<=50K,-0.076060481,-0.444269144,0
1852,White,Female,40,Self-emp-not-inc,12,Tech-support,<=50K,<=50K,-0.251184918,0.245385042,1
22582,White,Male,10,Private,7,Sales,<=50K,<=50K,0.491173906,-0.774304139,0
46926,White,Male,70,Unknown,9,Unknown,<=50K,<=50K,2.344514887,1.101386386,2
37370,White,Male,20,Private,9,Craft-repair,<=50K,<=50K,-0.087447311,-0.457809412,0
43513,Non-White,Male,60,Self-emp-not-inc,9,Other-service,<=50K,<=50K,0.177627786,-0.092603127,0
46234,White,Male,30,Private,9,Tech-support,<=50K,>50K,-0.233221172,-0.262473231,0
12498,White,Female,30,Private,6,Machine-op-inspct,<=50K,<=50K,0.129502976,-0.636866886,0
9541,White,Male,20,Private,13,Adm-clerical,<=50K,<=50K,-0.168955874,-0.183052903,0
40763,White,Female,30,Private,11,Prof-specialty,<=50K,>50K,-0.319807947,0.304967801,1
684,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.195322784,-0.365128866,0
42682,White,Male,60,Self-emp-inc,15,Prof-specialty,>50K,>50K,-0.418306903,1.672264636,1
45253,White,Male,20,Local-gov,9,Exec-managerial,<=50K,<=50K,-0.257155075,0.257566575,1
41557,White,Male,40,Private,10,Machine-op-inspct,<=50K,>50K,-0.151457315,-0.31287842,0
47412,Non-White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,0.025323133,-0.71930176,0
30373,White,Male,30,Private,10,Machine-op-inspct,<=50K,>50K,-0.126915291,-0.434222439,0
20125,White,Female,10,Private,10,Other-service,<=50K,<=50K,0.519862874,-0.817128574,0
11124,White,Male,20,State-gov,12,Tech-support,<=50K,<=50K,-0.26549825,0.231041819,1
34577,White,Female,30,Private,13,Exec-managerial,<=50K,>50K,-0.319326592,0.205284537,1
4598,Non-White,Male,40,Self-emp-not-inc,3,Craft-repair,<=50K,<=50K,-0.187014546,-0.045222552,0
25076,White,Female,40,Local-gov,13,Prof-specialty,<=50K,>50K,-0.502263059,1.014378606,1
25259,White,Female,20,Unknown,9,Unknown,<=50K,<=50K,2.119707162,0.521222245,2
15806,White,Female,20,Private,13,Sales,<=50K,<=50K,-0.079417763,-0.193643966,0
15372,White,Female,40,Self-emp-not-inc,9,Other-service,<=50K,<=50K,-0.054922242,-0.146062641,0
25470,White,Female,20,Private,12,Prof-specialty,<=50K,<=50K,-0.145578575,0.189695986,1
14397,White,Female,10,Private,8,Sales,<=50K,<=50K,0.563417413,-0.85259566,0
43087,White,Male,40,Private,13,Transport-moving,<=50K,>50K,-0.362737269,0.078956886,1
40103,White,Male,20,Private,13,Sales,<=50K,>50K,-0.193103096,-0.118630709,0
16420,White,Male,70,Private,10,Tech-support,<=50K,<=50K,0.278012733,0.181306847,0
44075,White,Male,30,Private,9,Craft-repair,<=50K,>50K,-0.221899659,-0.340061139,0
8870,White,Male,40,Federal-gov,9,Craft-repair,<=50K,>50K,-0.323738438,-1.84E-05,0
45681,White,Male,50,Private,10,Transport-moving,<=50K,>50K,-0.148277147,-0.213007457,0
1768,White,Male,40,State-gov,14,Exec-managerial,>50K,>50K,-0.645898231,1.154585459,1
13413,White,Female,20,Unknown,10,Unknown,<=50K,<=50K,2.157995661,0.577599712,2
24140,White,Male,30,Private,13,Exec-managerial,>50K,<=50K,-0.433011925,0.280297794,1
4542,Non-White,Male,50,State-gov,13,Prof-specialty,<=50K,>50K,-0.545185816,0.991432547,1
30110,White,Male,50,Private,9,Machine-op-inspct,<=50K,>50K,-0.156446653,-0.394855964,0
39205,White,Male,40,Self-emp-not-inc,9,Craft-repair,<=50K,>50K,-0.30689843,0.087900198,1
11343,White,Female,40,Private,9,Adm-clerical,<=50K,<=50K,-0.071392452,-0.341715602,0
37552,White,Male,20,Private,9,Other-service,<=50K,<=50K,0.050843544,-0.616758993,0
16587,Non-White,Male,30,Private,14,Exec-managerial,>50K,>50K,-0.445202513,0.46593473,1
10354,White,Female,40,Private,9,Transport-moving,<=50K,>50K,-0.106179475,-0.318798104,0
12803,White,Male,40,Private,9,Craft-repair,<=50K,>50K,-0.246441683,-0.218717121,0
17228,Non-White,Female,50,Private,4,Other-service,<=50K,<=50K,0.21663717,-0.45129402,0
24649,Non-White,Female,30,Federal-gov,10,Adm-clerical,<=50K,<=50K,-0.029784109,-0.298937029,0
2460,White,Female,50,Private,9,Adm-clerical,<=50K,<=50K,-0.03809329,-0.367315679,0
26741,White,Male,30,Private,4,Transport-moving,<=50K,<=50K,-0.073593855,-0.22718927,0
37001,White,Male,30,Private,9,Transport-moving,<=50K,>50K,-0.195322784,-0.365128866,0
37554,White,Female,30,Private,13,Prof-specialty,<=50K,>50K,-0.376253077,0.475275799,1
22377,White,Female,30,Private,9,Other-service,<=50K,<=50K,0.030076529,-0.574023977,0
38428,White,Male,40,Local-gov,13,Prof-specialty,>50K,<=50K,-0.615948392,1.089391863,1
29364,White,Male,30,Private,9,Exec-managerial,<=50K,>50K,-0.290139465,-0.04244394,0
27431,White,Male,20,Private,11,Machine-op-inspct,<=50K,<=50K,-0.117178773,-0.455914443,0
46442,White,Male,30,Private,10,Machine-op-inspct,<=50K,>50K,-0.126915291,-0.434222439,0
11297,White,Male,50,Private,13,Handlers-cleaners,<=50K,<=50K,-0.267178536,-0.10720253,0
13992,White,Male,50,Federal-gov,14,Prof-specialty,>50K,<=50K,-0.626743191,1.16132222,1
34842,White,Female,50,Private,14,Exec-managerial,>50K,>50K,-0.378834617,0.597618996,1
31244,White,Female,20,Private,13,Other-service,<=50K,<=50K,0.021656416,-0.369030517,0
5096,Non-White,Male,40,Federal-gov,10,Craft-repair,<=50K,<=50K,-0.229375364,-0.054594529,0
23896,White,Male,50,Private,4,Craft-repair,<=50K,<=50K,-0.091413593,-0.106377601,0
21011,White,Female,30,Federal-gov,9,Exec-managerial,<=50K,<=50K,-0.253750887,0.101241509,1
40115,White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.039677634,-0.587059012,0
47110,White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,-0.030751442,-0.608348179,0
30711,White,Female,20,Private,10,Exec-managerial,<=50K,<=50K,-0.003713284,-0.178828003,0
12587,White,Male,40,Private,11,Craft-repair,<=50K,>50K,-0.332869014,-0.066283385,0
5122,White,Male,30,Private,13,Sales,>50K,<=50K,-0.327555444,-0.000882436,0
18539,White,Male,20,Private,11,Exec-managerial,<=50K,>50K,-0.242114448,-0.007758477,0
5462,White,Female,50,Self-emp-not-inc,9,Exec-managerial,>50K,>50K,-0.228153741,0.284904063,1
14243,Non-White,Male,30,Private,11,Machine-op-inspct,<=50K,<=50K,-0.195556546,-0.449119751,0
27239,Non-White,Male,20,Private,9,Farming-fishing,<=50K,<=50K,0.002117399,-0.40386805,0
40411,Non-White,Male,20,Private,10,Handlers-cleaners,<=50K,<=50K,0.09575221,-0.698012593,0
42471,White,Male,50,Private,9,Exec-managerial,>50K,>50K,-0.281382327,0.053300002,0
13205,White,Male,20,Private,9,Handlers-cleaners,<=50K,<=50K,0.001389135,-0.643436479,0
11328,White,Male,20,Private,9,Farming-fishing,<=50K,<=50K,-0.053957176,-0.292914469,0
12524,White,Female,40,Self-emp-inc,15,Prof-specialty,>50K,>50K,-0.594782355,1.507851541,1
39061,White,Female,30,Private,11,Exec-managerial,<=50K,>50K,-0.262881462,0.034976539,0
14321,White,Female,40,Local-gov,9,Other-service,<=50K,<=50K,-0.095933453,-0.03492117,0
2259,White,Male,40,Local-gov,14,Exec-managerial,>50K,>50K,-0.627287071,1.115991118,1
34325,White,Male,30,Federal-gov,10,Exec-managerial,>50K,<=50K,-0.329147721,0.232632233,1
28900,White,Female,70,Self-emp-inc,13,Exec-managerial,<=50K,>50K,0.034492648,1.023129383,1
811,White,Male,30,Private,11,Tech-support,<=50K,>50K,-0.319648503,-0.110039495,0
25583,Non-White,Male,40,Private,6,Transport-moving,>50K,>50K,0.0172312,-0.425992152,0
39184,White,Male,20,Private,1,Farming-fishing,<=50K,<=50K,0.24466765,-0.152839448,0
9443,White,Male,10,Private,7,Handlers-cleaners,<=50K,<=50K,0.542793676,-0.976368175,0
8508,White,Male,20,Private,10,Other-service,<=50K,<=50K,0.089132043,-0.560381526,0
5701,White,Female,30,Self-emp-inc,10,Adm-clerical,>50K,>50K,-0.127688094,0.023760081,0
8448,Non-White,Male,40,State-gov,14,Prof-specialty,>50K,>50K,-0.64675014,1.31362314,1
14480,White,Male,60,Private,9,Sales,<=50K,>50K,0.080935778,-0.112880314,0
44829,White,Female,20,Self-emp-not-inc,9,Other-service,<=50K,<=50K,0.10407213,-0.385154932,0
3257,White,Male,40,State-gov,14,Prof-specialty,>50K,>50K,-0.702824715,1.424576721,1
31092,White,Male,60,Local-gov,7,Transport-moving,<=50K,<=50K,0.193187063,0.112175873,0
17887,White,Female,30,Private,12,Prof-specialty,<=50K,>50K,-0.280030923,0.307444259,1
23095,White,Male,30,Private,9,Prof-specialty,<=50K,>50K,-0.347065949,0.227547322,1
45202,White,Male,30,Federal-gov,10,Adm-clerical,<=50K,>50K,-0.199544017,-0.112970191,0
45927,White,Female,30,Private,5,Exec-managerial,<=50K,<=50K,-0.046627477,-0.146117775,0
36839,Non-White,Female,30,Private,9,Adm-clerical,<=50K,<=50K,0.009224148,-0.574013201,0
14989,White,Female,10,Private,10,Adm-clerical,<=50K,<=50K,0.442935917,-0.706164217,0
12908,White,Male,30,Private,10,Machine-op-inspct,<=50K,>50K,-0.126915291,-0.434222439,0
2240,White,Male,20,Private,10,Tech-support,<=50K,<=50K,-0.060480325,-0.323844038,0
35588,White,Male,50,Self-emp-inc,13,Exec-managerial,>50K,>50K,-0.543380953,0.806483971,1
24461,White,Female,40,Self-emp-not-inc,10,Sales,<=50K,<=50K,-0.117707922,0.085701377,0
38070,Non-White,Male,20,Private,9,Sales,<=50K,<=50K,0.00584394,-0.552326024,0
7512,White,Female,20,Private,13,Sales,<=50K,<=50K,-0.079417763,-0.193643966,0
9336,White,Male,50,Private,7,Protective-serv,<=50K,<=50K,-0.045385112,-0.074785184,0
16133,White,Male,30,Self-emp-inc,9,Transport-moving,<=50K,>50K,-0.314448949,0.065313369,1
31115,White,Male,50,Private,16,Prof-specialty,>50K,>50K,-0.601455765,1.144411138,1
33536,Non-White,Male,20,Private,10,Prof-specialty,<=50K,<=50K,-0.118250526,0.055222935,0
38562,White,Male,50,Local-gov,9,Transport-moving,<=50K,>50K,-0.288033605,0.148373865,1
26535,White,Female,20,Private,11,Sales,<=50K,<=50K,-0.022972633,-0.363951964,0
36186,White,Male,30,Private,6,Transport-moving,<=50K,<=50K,-0.014301351,-0.43638259,0
43892,White,Male,60,Private,9,Exec-managerial,>50K,>50K,-0.024520703,0.168299916,0
37671,White,Male,10,Private,7,Other-service,<=50K,<=50K,0.592248085,-0.94969069,0
47499,White,Male,40,Private,15,Prof-specialty,>50K,>50K,-0.589341523,1.152422564,1
34179,White,Male,10,Private,7,Sales,<=50K,<=50K,0.491173906,-0.774304139,0
21607,White,Female,40,Private,14,Prof-specialty,<=50K,>50K,-0.469060263,0.893210334,1
41146,Non-White,Male,60,Private,5,Exec-managerial,<=50K,>50K,0.161380527,0.028685757,0
36751,White,Male,20,Private,10,Machine-op-inspct,<=50K,<=50K,0.007537057,-0.551970712,0
43632,White,Female,40,Private,13,Sales,<=50K,>50K,-0.238412135,0.045448325,0
14804,White,Male,30,Private,10,Sales,<=50K,<=50K,-0.146394484,-0.267246703,0
31408,Non-White,Female,30,Local-gov,14,Prof-specialty,<=50K,<=50K,-0.489911623,1.078671524,1
39927,White,Female,50,Private,13,Exec-managerial,<=50K,>50K,-0.310569455,0.301028479,1
35832,White,Male,20,Federal-gov,13,Protective-serv,<=50K,<=50K,-0.364218161,0.404360946,1
22777,Non-White,Male,50,Federal-gov,12,Tech-support,<=50K,<=50K,-0.292336522,0.095926029,1
3006,White,Male,30,Private,9,Machine-op-inspct,<=50K,>50K,-0.16520379,-0.490599905,0
40706,White,Female,30,Private,7,Adm-clerical,<=50K,<=50K,0.177508616,-0.614257526,0
22697,White,Male,30,Private,9,Other-service,<=50K,<=50K,-0.083608804,-0.49901072,0
19842,White,Female,20,Private,9,Tech-support,<=50K,<=50K,0.014916509,-0.455234762,0
22275,White,Male,40,Private,13,Exec-managerial,>50K,>50K,-0.45755395,0.401641812,1
20453,Non-White,Male,20,Private,9,Transport-moving,<=50K,<=50K,-0.00479586,-0.59383072,0
15719,White,Male,10,Private,9,Sales,<=50K,<=50K,0.266814862,-0.623106233,0
34693,White,Female,30,Federal-gov,10,Tech-support,<=50K,<=50K,-0.158544095,-0.062410316,0
19880,White,Male,40,Self-emp-not-inc,10,Craft-repair,<=50K,>50K,-0.268609931,0.144277664,1
8670,White,Female,50,Private,9,Sales,<=50K,<=50K,-0.062240513,-0.302893485,0
44035,Non-White,Male,80,Private,4,Prof-specialty,<=50K,<=50K,0.000452798,0.282129637,1
1694,White,Male,60,Private,5,Transport-moving,<=50K,<=50K,0.200122633,-0.183045588,0
10488,Non-White,Female,50,Local-gov,10,Protective-serv,<=50K,<=50K,-0.163163706,0.364582139,1
13115,White,Male,40,Self-emp-not-inc,13,Exec-managerial,<=50K,>50K,-0.518010697,0.70825913,1
40759,White,Male,10,Private,7,Handlers-cleaners,<=50K,<=50K,0.542793676,-0.976368175,0
15467,White,Male,50,Local-gov,9,Protective-serv,<=50K,>50K,-0.371212114,0.49417151,1
39680,White,Male,50,Private,9,Machine-op-inspct,<=50K,>50K,-0.156446653,-0.394855964,0
43159,White,Male,20,Private,13,Other-service,<=50K,<=50K,-0.092028917,-0.29401726,0
15007,White,Female,40,Private,9,Handlers-cleaners,<=50K,<=50K,-0.043919904,-0.479357444,0
33674,White,Female,50,Private,9,Adm-clerical,<=50K,<=50K,-0.03809329,-0.367315679,0
35676,Non-White,Male,20,Private,9,Machine-op-inspct,<=50K,<=50K,0.025323133,-0.71930176,0
18349,Non-White,Male,50,Local-gov,10,Exec-managerial,>50K,>50K,-0.288487211,0.416482676,1
48452,White,Male,50,Private,16,Prof-specialty,>50K,>50K,-0.601455765,1.144411138,1
30665,White,Male,40,Private,13,Handlers-cleaners,<=50K,<=50K,-0.300477698,-0.081602454,0
5302,White,Male,30,Private,7,Other-service,<=50K,<=50K,0.14075024,-0.650208626,0
43085,White,Male,20,Private,11,Tech-support,<=50K,>50K,-0.185196155,-0.227787769,0
24143,White,Female,20,Private,10,Tech-support,<=50K,<=50K,0.053205008,-0.398857295,0
7243,White,Male,40,Private,9,Transport-moving,<=50K,>50K,-0.219864808,-0.243784847,0
16736,White,Male,40,Private,12,Farming-fishing,<=50K,>50K,-0.259601855,0.101088016,1
5169,Non-White,Male,30,Private,9,Craft-repair,<=50K,<=50K,-0.165825083,-0.45101472,0
26012,White,Male,40,State-gov,7,Farming-fishing,<=50K,<=50K,-0.108671624,0.251333047,1
36101,White,Male,30,Self-emp-inc,9,Craft-repair,>50K,>50K,-0.341025824,0.090381096,1
13599,White,Male,30,Private,11,Craft-repair,<=50K,>50K,-0.30832699,-0.187627403,0
31180,White,Male,30,Private,9,Adm-clerical,<=50K,<=50K,-0.160535761,-0.388046363,0
15526,White,Female,20,Private,10,Sales,<=50K,<=50K,0.101743197,-0.460008233,0
29082,White,Female,40,Private,14,Exec-managerial,>50K,>50K,-0.412133779,0.623219072,1
17180,White,Male,30,Private,9,Sales,<=50K,>50K,-0.184682983,-0.32362417,0
33869,White,Female,20,Self-emp-not-inc,4,Other-service,<=50K,<=50K,0.225801058,-0.247215336,0
35905,White,Male,20,Private,9,Protective-serv,<=50K,<=50K,-0.144048945,-0.137079493,0
14167,White,Female,20,Local-gov,9,Other-service,<=50K,<=50K,0.063060919,-0.274013462,0
3107,White,Male,40,Private,11,Craft-repair,<=50K,>50K,-0.332869014,-0.066283385,0
30640,White,Female,50,Local-gov,9,Adm-clerical,<=50K,<=50K,-0.139561249,0.05044311,0
19509,White,Male,30,Self-emp-not-inc,4,Craft-repair,<=50K,<=50K,-0.160627478,0.104495775,0
6778,White,Male,30,Private,9,Handlers-cleaners,<=50K,<=50K,-0.133063213,-0.525688205,0
16744,White,Male,40,Private,14,Exec-managerial,>50K,>50K,-0.525819112,0.698232329,1
6133,White,Female,10,Private,8,Other-service,<=50K,<=50K,0.664491592,-1.02798221,0
46840,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.183611159,-0.283683672,0
25478,White,Female,30,Unknown,11,Unknown,<=50K,<=50K,1.898827483,0.791404254,2
31609,White,Female,10,Unknown,6,Unknown,<=50K,<=50K,2.617774092,0.26823473,2
12697,White,Male,30,Self-emp-not-inc,9,Craft-repair,<=50K,<=50K,-0.282356406,-0.033443821,0
42939,White,Female,10,Private,10,Sales,<=50K,<=50K,0.418788695,-0.641742023,0
4511,White,Male,20,Private,10,Exec-managerial,<=50K,<=50K,-0.117398617,-0.103814746,0
33891,White,Male,60,Self-emp-not-inc,4,Sales,<=50K,<=50K,0.142207959,0.3316766,1
3405,White,Female,60,Local-gov,6,Adm-clerical,<=50K,<=50K,0.298321808,0.0941893,0
15154,White,Female,20,Private,13,Sales,<=50K,<=50K,-0.079417763,-0.193643966,0
35666,White,Female,30,Private,10,Adm-clerical,<=50K,<=50K,-0.008561928,-0.406682153,0
19223,White,Male,40,Private,13,Prof-specialty,>50K,<=50K,-0.514480434,0.671633074,1
5857,White,Male,30,State-gov,9,Exec-managerial,<=50K,>50K,-0.410218583,0.413909191,1
12323,White,Female,30,Private,13,Exec-managerial,<=50K,>50K,-0.319326592,0.205284537,1
41256,White,Male,30,Private,5,Handlers-cleaners,<=50K,<=50K,-0.003236559,-0.554348783,0
14619,White,Female,60,Private,9,Sales,<=50K,<=50K,0.194621112,-0.187893571,0
12245,White,Male,60,Federal-gov,9,Handlers-cleaners,<=50K,<=50K,0.055258793,-0.096245644,0
23067,White,Female,40,Private,10,Sales,<=50K,<=50K,-0.057251175,-0.220915941,0
14791,White,Female,50,Private,3,Machine-op-inspct,<=50K,<=50K,0.021047989,-0.49203839,0
44720,White,Male,20,Private,13,Prof-specialty,<=50K,>50K,-0.355486062,0.432540783,1
38762,White,Male,50,Self-emp-inc,12,Sales,>50K,>50K,-0.341702318,0.3574722,1
36075,White,Male,20,Private,14,Tech-support,<=50K,<=50K,-0.309906448,0.239110746,1
21394,White,Female,10,Private,8,Sales,<=50K,<=50K,0.563417413,-0.85259566,0
822,White,Male,40,Private,9,Handlers-cleaners,<=50K,<=50K,-0.157605237,-0.404344187,0
7423,Non-White,Male,30,Private,14,Prof-specialty,<=50K,>50K,-0.502128997,0.735925992,1
34123,White,Male,40,State-gov,10,Farming-fishing,<=50K,<=50K,-0.294742168,0.45890842,1
47748,White,Male,20,Private,13,Exec-managerial,<=50K,>50K,-0.298559577,0.162549521,1
28642,White,Female,20,Private,13,Other-service,<=50K,<=50K,0.021656416,-0.369030517,0
30602,Non-White,Male,20,Private,8,Adm-clerical,<=50K,<=50K,0.21290838,-0.771224387,0
30147,White,Male,50,Private,9,Craft-repair,<=50K,>50K,-0.213142521,-0.244317197,0
27788,White,Male,30,Private,13,Sales,>50K,<=50K,-0.327555444,-0.000882436,0
41550,Non-White,Female,50,Private,6,Adm-clerical,<=50K,<=50K,0.199002718,-0.549522984,0
46045,White,Male,10,Private,7,Handlers-cleaners,<=50K,<=50K,0.542793676,-0.976368175,0
43767,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.183611159,-0.283683672,0
21331,White,Male,40,Private,10,Transport-moving,<=50K,>50K,-0.181576308,-0.187407381,0
9550,Non-White,Male,30,Private,13,Machine-op-inspct,<=50K,<=50K,-0.252001676,-0.278811753,0
13174,White,Male,50,Private,9,Transport-moving,<=50K,>50K,-0.186565646,-0.269384924,0
8184,White,Male,30,Private,10,Craft-repair,<=50K,>50K,-0.183611159,-0.283683672,0
